|dakkon blackblade|legendary|creature||human warrior|*/*|{^^WWUUUUBB}|@'s power and toughness are each equal to the number of lands you control.|
|clearwater goblet||artifact||||{^^^^^}|sunburst\at the beginning of your upkeep, you may gain life equal to the number of % counters on @.\countertype % charge|

|fade into antiquity||sorcery||||{^^GG}|exile target artifact or enchantment.|

|steel of the godhead||enchantment||aura||{^^WU}|enchant creature\as long as enchanted creature is white, it gets +&^/+&^ and has lifelink.\as long as enchanted creature is blue, it gets +&^/+&^ and can't be blocked.|

|somberwald spider||creature||spider|&^^/&^^^^|{^^^^GG}|reach\morbid ~ @ enters the battlefield with two +&^/+&^ counters on it if a creature died this turn.|

|selective memory||sorcery||||{^^^UU}|search your library for any number of nonland cards and exile them. then shuffle your library.|

|kor sanctifiers||creature||kor cleric|&^^/&^^^|{^^WW}|when @ enters the battlefield, if it was kicked, destroy target artifact or enchantment.\kicker {WW}|

|cetavolver||creature||volver|&^/&^|{^UU}|if @ was kicked with its {^RR} kicker, it enters the battlefield with two +&^/+&^ counters on it and with first strike.\if @ was kicked with its {GG} kicker, it enters the battlefield with a +&^/+&^ counter on it and with trample.\kicker {^RR} and/or {GG}|

|weakness||enchantment||aura||{BB}|enchant creature\enchanted creature gets -&^^/-&^.|

|hangarback walker||artifact creature||construct|&/&|{XXXX}|@ enters the battlefield with X +&^/+&^ counters on it.\when @ dies, put a &^/&^ colorless thopter artifact creature token with flying onto the battlefield for each +&^/+&^ counter on @.\{^}, T: put a +&^/+&^ counter on @.|

|mana breach||enchantment||||{^^UU}|whenever a player casts a spell, that player returns a land he or she controls to its owner's hand.|

|hickory woodlot||land|||||@ enters the battlefield tapped with two % counters on it.\T, remove a % counter from @: add {GGGG} to your mana pool. if there are no % counters on @, sacrifice it.\countertype % depletion|

|path of bravery||enchantment||||{^^WW}|as long as your life total is greater than or equal to your starting life total, creatures you control get +&^/+&^.\whenever one or more creatures you control attack, you gain life equal to the number of attacking creatures.|

|chronic flooding||enchantment||aura||{^UU}|enchant land\whenever enchanted land becomes tapped, its controller puts the top three cards of his or her library into his or her graveyard.|

|serpent generator||artifact||||{^^^^^^}|{^^^^}, T: put a &^/&^ colorless snake artifact creature token onto the battlefield. it has "whenever this creature deals damage to a player, that player gets a % counter."\countertype % poison|

|flameshadow conjuring||enchantment||||{^^^RR}|whenever a nontoken creature enters the battlefield under your control, you may pay {RR}. if you do, put a token onto the battlefield that's a copy of that creature. that token gains haste. exile it at the beginning of the next end step.|

|wrap in flames||sorcery||||{^^^RR}|@ deals &^ damage to each of up to three target creatures. those creatures can't block this turn.|

|vampirism||enchantment||aura||{^BB}|enchant creature\when @ enters the battlefield, draw a card at the beginning of the next turn's upkeep.\enchanted creature gets +&^/+&^ for each other creature you control.\other creatures you control get -&^/-&^.|

|march of the machines||enchantment||||{^^^UU}|each noncreature artifact is an artifact creature with power and toughness each equal to its converted mana cost.|

|rumbling slum||creature||elemental|&^^^^^/&^^^^^|{^RRGGGG}|at the beginning of your upkeep, @ deals &^ damage to each player.|

|griffin guide||enchantment||aura||{^^WW}|enchant creature\enchanted creature gets +&^^/+&^^ and has flying.\when enchanted creature dies, put a &^^/&^^ white griffin creature token with flying onto the battlefield.|

|cautery sliver||creature||sliver|&^^/&^^|{RRWW}|all slivers have "{^}, sacrifice this permanent: this permanent deals &^ damage to target creature or player."\all slivers have "{^}, sacrifice this permanent: prevent the next &^ damage that would be dealt to target sliver creature or player this turn."|

|unexpectedly absent||instant||||{XXWWWW}|put target nonland permanent into its owner's library just beneath the top X cards of that library.|

|subterranean spirit||creature||elemental spirit|&^^^/&^^^|{^^^RRRR}|protection from red\T: @ deals &^ damage to each creature without flying.|

|vigor||creature||elemental incarnation|&^^^^^^/&^^^^^^|{^^^GGGGGG}|trample\if damage would be dealt to a creature you control other than @, prevent that damage. put a +&^/+&^ counter on that creature for each &^ damage prevented this way.\when @ is put into a graveyard from anywhere, shuffle it into its owner's library.|

|spectral gateguards||creature||spirit soldier|&^^/&^^^^^|{^^^^WW}|soulbond\as long as @ is paired with another creature, both creatures have vigilance.|

|honor the fallen||instant||||{^WW}|exile all creature cards from all graveyards. you gain &^ life for each card exiled this way.|

|giant oyster||creature||oyster|&/&^^^|{^^UUUU}|you may choose not to untap @ during your untap step.\T: for as long as @ remains tapped, target tapped creature doesn't untap during its controller's untap step, and at the beginning of each of your draw steps, put a -&^/-&^ counter on that creature. when @ leaves the battlefield or becomes untapped, remove all -&^/-&^ counters from the creature.|

|weakstone||artifact||||{^^^^}|attacking creatures get -&^/-&.|

|oracle en~vec||creature||human wizard|&^/&^|{^WW}|T: target opponent chooses any number of creatures he or she controls. during that player's next turn, the chosen creatures attack if able, and other creatures can't attack. at the beginning of that turn's end step, destroy each of the chosen creatures that didn't attack. activate this ability only during your turn.|

|roc egg||creature||bird|&/&^^^|{^^WW}|defender\when @ dies, put a &^^^/&^^^ white bird creature token with flying onto the battlefield.|

|conversion chamber||artifact||||{^^^}|{^^}, T: exile target artifact card from a graveyard. put a % counter on @.\{^^}, T, remove a % counter from @: put a &^^^/&^^^ colorless golem artifact creature token onto the battlefield.\countertype % charge|

|riptide chronologist||creature||human wizard|&^/&^^^|{^^^UUUU}|{UU}, sacrifice @: untap all creatures of the creature type of your choice.|

|traitorous blood||sorcery||||{^RRRR}|gain control of target creature until end of turn. untap it. it gains trample and haste until end of turn.|

|puresteel paladin||creature||human knight|&^^/&^^|{WWWW}|whenever an equipment enters the battlefield under your control, you may draw a card.\metalcraft ~ equipment you control have equip {} as long as you control three or more artifacts.|

|setessan oathsworn||creature||satyr warrior|&^/&^|{^GGGG}|heroic ~ whenever you cast a spell that targets @, put two +&^/+&^ counters on @.|

|word of seizing||instant||||{^^^RRRR}|split second\untap target permanent and gain control of it until end of turn. it gains haste until end of turn.|

|lightning prowess||enchantment||aura||{^^RR}|enchant creature\enchanted creature has haste and "T: this creature deals &^ damage to target creature or player."|

|sandstorm eidolon||creature||spirit|&^^/&^^|{^^^RR}|{RR}, sacrifice @: target creature can't block this turn.\whenever you cast a multicolored spell, you may return @ from your graveyard to your hand.|

|auriok siege sled||artifact creature||juggernaut|&^^^/&^^^^^|{^^^^^^}|{^}: target artifact creature blocks @ this turn if able.\{^}: target artifact creature can't block @ this turn.|

|rebuking ceremony||sorcery||||{^^^GGGG}|put two target artifacts on top of their owners' libraries.|

|forsaken drifters||creature||zombie|&^^^^/&^^|{^^^BB}|when @ dies, put the top four cards of your library into your graveyard.|

|font of mythos||artifact||||{^^^^}|at the beginning of each player's draw step, that player draws two additional cards.|

|nebuchadnezzar|legendary|creature||human wizard|&^^^/&^^^|{^^^UUBB}|{XX}, T: name a card. target opponent reveals X cards at random from his or her hand. then that player discards all cards with that name revealed this way. activate this ability only during your turn.|

|heedless one||creature||elf avatar|*/*|{^^^GG}|trample\@'s power and toughness are each equal to the number of elves on the battlefield.|

|toxin sliver||creature||sliver|&^^^/&^^^|{^^^BB}|whenever a sliver deals combat damage to a creature, destroy that creature. it can't be regenerated.|

|hand of justice||creature||avatar|&^^/&^^^^^^|{^^^^^WW}|T, tap three untapped white creatures you control: destroy target creature.|

|sky hussar||creature||human knight|&^^^^/&^^^|{^^^WWUU}|flying\when @ enters the battlefield, untap all creatures you control.\forecast ~ tap two untapped white and/or blue creatures you control, reveal @ from your hand: draw a card.|

|arcbound wanderer||artifact creature||golem|&/&|{^^^^^^}|modular~sunburst|

|flay||sorcery||||{^^^BB}|target player discards a card at random. then that player discards another card at random unless he or she pays {^}.|

|savage offensive||sorcery||||{^RR}|creatures you control gain first strike until end of turn. if @ was kicked, they get +&^/+&^ until end of turn.\kicker {GG}|

|take possession||enchantment||aura||{^^^^^UUUU}|enchant permanent\split second\you control enchanted permanent.|

|lavinia of the tenth|legendary|creature||human soldier|&^^^^/&^^^^|{^^^WWUU}|protection from red\when @ enters the battlefield, detain each nonland permanent your opponents control with converted mana cost &^^^^ or less.|

|aphotic wisps||instant||||{BB}|target creature becomes black and gains fear until end of turn.\draw a card.|

|karn, silver golem|legendary|artifact creature||golem|&^^^^/&^^^^|{^^^^^}|whenever @ blocks or becomes blocked, it gets -&^^^^/+&^^^^ until end of turn.\{^}: target noncreature artifact becomes an artifact creature with power and toughness each equal to its converted mana cost until end of turn.|

|angel of finality||creature||angel|&^^^/&^^^^|{^^^WW}|flying\when @ enters the battlefield, exile all cards from target player's graveyard.|

|ordruun veteran||creature||minotaur soldier|&^^^/&^|{^^RRWW}|battalion ~ whenever @ and at least two other creatures attack, @ gains double strike until end of turn.|

|indentured djinn||creature||djinn|&^^^^/&^^^^|{^UUUU}|flying\when @ enters the battlefield, each other player may draw up to three cards.|

|horned sliver||creature||sliver|&^^/&^^|{^^GG}|all sliver creatures have trample.|

|rashida scalebane|legendary|creature||human soldier|&^^^/&^^^^|{^^^WWWW}|T: destroy target attacking or blocking dragon. it can't be regenerated. you gain life equal to its power.|

|changeling titan||creature||shapeshifter|&^^^^^^^/&^^^^^^^|{^^^^GG}|changeling\champion a creature|

|phyrexian vatmother||creature||horror|&^^^^/&^^^^^|{^^BBBB}|infect\at the beginning of your upkeep, you get a % counter.\countertype % poison|

|scent of nightshade||instant||||{^BB}|reveal any number of black cards in your hand. target creature gets -X/-X until end of turn, where X is the number of cards revealed this way.|

|stubborn denial||instant||||{UU}|uncast target noncreature spell unless its controller pays {^}.\ferocious ~ if you control a creature with power &^^^^ or greater, uncast that spell instead.|

|miren, the moaning well|legendary|land|||||T: add {CC} to your mana pool.\{^^^}, T, sacrifice a creature: you gain life equal to the sacrificed creature's toughness.|

|poultice sliver||creature||sliver|&^^/&^^|{^^WW}|all slivers have "{^^}, T: regenerate target sliver."|

|congregate||instant||||{^^^WW}|target player gains &^^ life for each creature on the battlefield.|

|future sight||enchantment||||{^^UUUUUU}|play with the top card of your library revealed.\you may play the top card of your library.|

|wei ambush force||creature||human soldier|&^/&^|{^BB}|whenever @ attacks, it gets +&^^/+& until end of turn.|

|spine of ish sah||artifact||||{^^^^^^^}|when @ enters the battlefield, destroy target permanent.\when @ is put into a graveyard from the battlefield, return @ to its owner's hand.|

|due respect||instant||||{^WW}|permanents enter the battlefield tapped this turn.\draw a card.|

|wandering mage||creature||human cleric wizard|&/&^^^|{WWUUBB}|{WW}, pay &^ life: prevent the next &^^ damage that would be dealt to target creature this turn.\{UU}: prevent the next &^ damage that would be dealt to target cleric or wizard creature this turn.\{BB}, put a -&^/-&^ counter on a creature you control: prevent the next &^^ damage that would be dealt to target player this turn.|

|ember shot||instant||||{^^^^^^RR}|@ deals &^^^ damage to target creature or player.\draw a card.|

|furnace brood||creature||elemental|&^^^/&^^^|{^^^RR}|{RR}: target creature can't be regenerated this turn.|

|dauthi slayer||creature||dauthi soldier|&^^/&^^|{BBBB}|shadow\@ attacks each turn if able.|

|guiding spirit||creature||angel spirit|&^/&^^|{^WWUU}|flying\T: if the top card of target player's graveyard is a creature card, put that card on top of that player's library.|

|numbing dose||enchantment||aura||{^^^UUUU}|enchant artifact or creature\enchanted permanent doesn't untap during its controller's untap step.\at the beginning of the upkeep of enchanted permanent's controller, that player loses &^ life.|

|rhystic tutor||sorcery||||{^^BB}|unless any player pays {^^}, search your library for a card, put that card into your hand, then shuffle your library.|
